Temperatura,Vibracion,Uso,RiskScore,Estado_Codigo,Estado_Nombre
40.46,0.06,25.13,0.1673,0,NORMAL
27.14,1.84,47.22,0.2182,0,NORMAL
48.55,0.22,33.21,0.2334,0,NORMAL
20.95,0.55,37.79,0.1184,0,NORMAL
20.85,0.5,45.74,0.136,0,NORMAL
37.44,0.55,42.41,0.2125,0,NORMAL
45.9,0.02,54.32,0.2659,0,NORMAL
42.34,0.85,18.55,0.1879,0,NORMAL
50.63,0.84,15.1,0.2204,1,PREVENTIVO
23.09,2.12,43.2,0.1976,1,PREVENTIVO
45.83,1.82,39.49,0.2917,0,NORMAL
51.14,0.95,40.36,0.2897,1,PREVENTIVO
46.54,1.55,57.39,0.3303,0,NORMAL
38.48,1.76,12.52,0.1853,0,NORMAL
27.29,0.72,14.39,0.0978,0,NORMAL
27.45,0.25,25.29,0.1093,0,NORMAL
40.34,0.91,30.36,0.2095,0,NORMAL
26.7,0.67,61.52,0.2107,1,PREVENTIVO
40.74,1.52,19.41,0.2055,0,NORMAL
43.33,0.41,30.87,0.2081,0,NORMAL
51.66,1.6,40.63,0.3159,1,PREVENTIVO
41.91,2.11,52.68,0.315,1,PREVENTIVO
27.33,0.08,27.35,0.1078,0,NORMAL
28.57,0.53,61.86,0.2159,1,PREVENTIVO
48.04,0.79,46.05,0.2829,0,NORMAL
32.66,2.29,35.24,0.2314,1,PREVENTIVO
28.48,0.62,40.88,0.1661,0,NORMAL
28.41,1.46,59.38,0.2416,0,NORMAL
32.78,0.55,64.86,0.2453,1,PREVENTIVO
36.3,0.23,12.59,0.121,0,NORMAL
23.51,1.57,53.56,0.2064,0,NORMAL
33.51,0.16,30.99,0.1506,0,NORMAL
51.88,1.32,63.41,0.3642,1,PREVENTIVO
47.54,0.03,49.64,0.2628,0,NORMAL
41.81,1.34,24.68,0.2177,0,NORMAL
40.51,0.28,33.91,0.1971,0,NORMAL
34.52,2.38,58.17,0.3015,1,PREVENTIVO
28.43,1.25,19.83,0.1355,0,NORMAL
49.2,2.18,26.41,0.2882,1,PREVENTIVO
40.45,1.52,18.41,0.2015,0,NORMAL
44.4,1.35,52.82,0.3013,0,NORMAL
36.97,0.0,27.83,0.1545,0,NORMAL
20.62,2.32,58.33,0.2302,1,PREVENTIVO
46.61,0.77,13.19,0.1929,0,NORMAL
48.1,2.37,14.71,0.2601,1,PREVENTIVO
35.55,0.17,51.83,0.2134,0,NORMAL
44.51,0.32,36.14,0.2241,0,NORMAL
37.59,0.66,57.98,0.2561,0,NORMAL
33.54,0.53,39.66,0.1854,0,NORMAL
43.36,0.5,27.14,0.2023,0,NORMAL
51.84,1.62,34.1,0.3013,1,PREVENTIVO
36.56,0.3,22.36,0.1493,0,NORMAL
30.82,1.47,22.66,0.1622,0,NORMAL
27.05,0.18,44.71,0.1532,0,NORMAL
27.33,2.26,57.28,0.2591,1,PREVENTIVO
22.27,0.6,46.79,0.1491,0,NORMAL
26.86,0.33,61.45,0.1995,1,PREVENTIVO
38.27,1.18,53.15,0.2656,0,NORMAL
45.84,0.48,15.33,0.1842,0,NORMAL
33.79,1.06,35.69,0.1952,0,NORMAL
43.33,1.68,64.13,0.3359,1,PREVENTIVO
23.15,1.01,28.66,0.1226,0,NORMAL
47.57,0.62,20.46,0.2108,0,NORMAL
34.36,1.05,25.32,0.172,0,NORMAL
27.99,2.31,34.37,0.2067,1,PREVENTIVO
47.56,1.38,12.78,0.2179,0,NORMAL
51.98,2.09,63.29,0.3913,1,PREVENTIVO
49.64,2.12,19.15,0.2703,1,PREVENTIVO
35.54,0.53,32.06,0.1765,0,NORMAL
21.88,0.95,64.19,0.203,1,PREVENTIVO
28.49,1.96,35.03,0.1986,0,NORMAL
33.54,2.39,64.75,0.3133,1,PREVENTIVO
37.78,1.8,18.51,0.1981,0,NORMAL
29.49,2.42,41.85,0.2369,1,PREVENTIVO
37.35,1.87,13.14,0.1851,0,NORMAL
38.69,1.26,56.9,0.2797,0,NORMAL
25.04,2.4,14.41,0.1453,1,PREVENTIVO
25.95,1.49,47.14,0.1996,0,NORMAL
27.53,0.3,58.97,0.1955,0,NORMAL
27.88,1.49,44.07,0.2016,0,NORMAL
33.42,1.46,38.75,0.215,0,NORMAL
49.91,0.51,49.39,0.2909,0,NORMAL
27.64,0.99,46.94,0.1902,0,NORMAL
29.6,0.79,51.35,0.204,0,NORMAL
22.32,1.15,64.91,0.214,1,PREVENTIVO
51.88,0.18,21.72,0.2201,1,PREVENTIVO
28.49,2.33,58.45,0.2702,1,PREVENTIVO
48.14,0.92,18.68,0.2197,0,NORMAL
46.68,1.76,43.64,0.3041,0,NORMAL
51.59,1.63,10.43,0.2413,1,PREVENTIVO
46.15,0.75,46.49,0.2731,0,NORMAL
50.05,0.34,16.35,0.2029,1,PREVENTIVO
23.43,1.38,24.98,0.128,0,NORMAL
39.35,1.79,21.2,0.2126,0,NORMAL
40.3,0.66,36.87,0.2167,0,NORMAL
48.97,2.12,15.08,0.2566,1,PREVENTIVO
33.55,0.69,10.2,0.1175,0,NORMAL
44.68,1.59,24.41,0.2401,0,NORMAL
43.72,1.38,33.52,0.2507,0,NORMAL
20.31,0.19,58.57,0.1546,0,NORMAL
48.93,1.36,55.9,0.3321,0,NORMAL
38.64,0.37,17.01,0.1487,0,NORMAL
29.86,2.25,53.79,0.2624,1,PREVENTIVO
47.54,2.25,21.55,0.2703,1,PREVENTIVO
27.98,0.26,52.91,0.1812,0,NORMAL
48.29,1.02,44.14,0.2874,0,NORMAL
24.95,2.32,57.55,0.25,1,PREVENTIVO
51.24,2.03,58.48,0.3733,1,PREVENTIVO
20.79,1.84,28.27,0.1391,0,NORMAL
49.79,2.01,57.52,0.3629,1,PREVENTIVO
45.94,0.67,53.31,0.2863,0,NORMAL
23.46,2.18,57.22,0.2367,1,PREVENTIVO
27.12,2.04,35.32,0.1953,1,PREVENTIVO
29.77,1.99,22.52,0.1747,0,NORMAL
20.76,0.48,28.05,0.0908,0,NORMAL
47.66,2.42,25.35,0.2863,1,PREVENTIVO
40.53,1.0,63.96,0.2975,1,PREVENTIVO
37.16,2.35,16.34,0.2088,1,PREVENTIVO
51.05,0.45,62.94,0.3282,1,PREVENTIVO
28.49,0.27,33.9,0.1367,0,NORMAL
43.31,0.78,43.34,0.2524,0,NORMAL
36.37,0.96,41.71,0.2198,0,NORMAL
28.15,1.77,10.09,0.128,0,NORMAL
49.62,1.35,49.57,0.3191,0,NORMAL
43.74,1.68,30.03,0.2525,0,NORMAL
22.24,1.66,28.16,0.1397,0,NORMAL
30.05,2.12,49.59,0.2484,1,PREVENTIVO
29.61,0.77,32.46,0.1563,0,NORMAL
32.88,0.74,17.0,0.1328,0,NORMAL
33.45,2.35,47.25,0.2677,1,PREVENTIVO
48.89,1.54,26.55,0.2647,0,NORMAL
37.53,0.0,25.78,0.1522,0,NORMAL
33.76,1.45,46.01,0.2346,0,NORMAL
34.88,1.11,21.75,0.1675,0,NORMAL
35.14,2.25,53.78,0.289,1,PREVENTIVO
25.43,0.21,38.35,0.1304,0,NORMAL
40.25,0.84,55.01,0.2681,0,NORMAL
44.04,1.68,22.36,0.2349,0,NORMAL
26.37,0.06,23.47,0.0927,0,NORMAL
35.2,2.12,14.01,0.1854,1,PREVENTIVO
33.26,1.57,20.69,0.1731,0,NORMAL
42.28,1.24,23.42,0.2132,0,NORMAL
40.99,0.01,51.3,0.2337,0,NORMAL
44.64,0.27,33.38,0.216,0,NORMAL
25.63,2.39,38.49,0.2082,1,PREVENTIVO
21.61,0.62,56.66,0.1715,0,NORMAL
34.61,2.0,46.72,0.2599,1,PREVENTIVO
51.61,1.49,62.25,0.3658,1,PREVENTIVO
48.53,1.53,49.56,0.3201,0,NORMAL
36.15,2.08,40.13,0.2538,1,PREVENTIVO
48.71,1.86,36.11,0.2989,0,NORMAL
28.29,0.62,45.07,0.1758,0,NORMAL
44.51,1.3,44.47,0.2793,0,NORMAL
28.79,0.19,25.72,0.115,0,NORMAL
28.69,0.8,39.71,0.1707,0,NORMAL
24.43,0.58,48.17,0.1628,0,NORMAL
42.61,0.16,32.42,0.1997,0,NORMAL
37.36,1.04,21.38,0.1766,0,NORMAL
33.44,2.26,42.12,0.2517,1,PREVENTIVO
42.26,2.14,52.11,0.3165,1,PREVENTIVO
32.17,0.01,29.35,0.1347,0,NORMAL
